Authors,Author full names,Author(s) ID,Title,Year,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords
Svoboda T.,"Svoboda, Toby (36990522500)",36990522500,"Geoengineering, agent-regret, and the Lesser of Two Evils Argument",2015,10.5840/enviroethics201537218,https://www.scopus.com/pages/publications/84941215684?origin=resultslist,"Fairfield University, 314 Donnarumma Hall, 1073 North Benson Road, Fairfield, 06824, CT, United States","Svoboda T., Fairfield University, 314 Donnarumma Hall, 1073 North Benson Road, Fairfield, 06824, CT, United States","According to the ""Lesser of Two Evils Argument,"" deployment of solar radiation management (SRM) geoengineering in a climate emergency would be morally justified because it likely would be the best option available. A prominent objection to this argument is that a climate emergency might constitute a genuine moral dilemma in which SRM would be impermissible even if it was the best option. However, while conceiving of a climate emergency as a moral dilemma accounts for some ethical concerns about SRM, it requires the controversial claim that there are genuine moral dilemmas, and it potentially undermines moral action guidance in emergency scenarios. Instead, it is better to conceive of climate emergencies as situations calling for agent-regret. This alternative allows us coherently to hold that SRM may be morally problematic even if it ought to be deployed in some scenario.",
Martin C.; Moore S.,"Martin, Craig (56468412900); Moore, Scott (60107717500)",56468412900; 60107717500,Geoengineering Wars and Atmospheric Governance,2025,10.2139/ssrn.5089926,https://www.scopus.com/pages/publications/105016636729?origin=resultslist,"International and Comparative Law Center, Washburn University School of Law, United States; University of Pennsylvania, United States","Martin C., International and Comparative Law Center, Washburn University School of Law, United States; Moore S., University of Pennsylvania, United States","The increasingly harsh and unevenly distributed heat-related harms caused by climate change, together with frustration over the collective inability to respond to the crisis, are likely to make unilateral geoengineering efforts increasingly attractive. Stratospheric aerosol injection (“SAI”) is a form of solar radiation modification that is effective, technically feasible, and within the financial means of many states and even non-state actors. Yet, there are virtually no global governance structures in place to specifically regulate such activity, and existing international law would provide only weak constraints on unilateral SAI efforts. These features create incentives for unilateral action in what is known as a “free driver” problem: few constraints on a unilateral action that has low direct cost combined with immediate direct individual benefit despite widely distributed risks and indirect costs. There would be significant collateral environmental and climatic harms associated with SAI. That, coupled with the high risk of unilateral action, is reason enough for both caution and stronger governance. But another risk posed by any unilateral SAI effort—one that is underappreciated and under-theorized—is that of armed conflict. We explore how and why states would likely perceive the potential risks associated with unilateral SAI effort as constituting a threat to national security, and in the absence of adequate legal and institutional mechanisms to constrain such unilateral action, might well contemplate the use of force to defend against the perceived threat. The Article explores and explains how and why the jus ad bellum regime is unlikely to prevent states from engaging in unauthorized use of force against unilateral SAI actors. In sum, there are strong incentives for unilateral SAI deployment, there is little in the way of global governance to constrain it, states will view it as a threat to national security, and the jus ad bellum regime is in turn unlikely to constrain any use of force in response—which creates a distinct risk that unilateral SAI deployment could result in armed conflict. We argue that this underappreciated risk, combined with the growing pressure and incentive for unilateral action, provides further grounds for the urgent development of more robust governance for SAI—specifically, apart from other forms of geoengineering. We argue that a traditional multilateral treaty structure with an accompanying institutional apparatus is required, and we provide some preliminary ideas on the objects and purposes of such a governance structure. We explain that either the United Nations Framework Convention on Climate Change (“UNFCCC”) or the Montreal Protocol would provide an ideal forum within which to commence the work of developing such a governance structure. © 2025 Harvard University. All rights reserved.",
Botsalı A.R.,"Botsalı, Ahmet Reha (57210123918)",57210123918,Solar Radiation and Climate Change Research: A Comprehensive Bibliometric Analysis (1991–2025),2026,10.3390/atmos17060597,https://www.scopus.com/pages/publications/105042711559?origin=resultslist,"Department of Industrial Engineering, Necmettin Erbakan University, Konya, 42090, Turkey","Botsalı A.R., Department of Industrial Engineering, Necmettin Erbakan University, Konya, 42090, Turkey","Solar radiation drives virtually every process in Earth’s climate system—from atmospheric circulation and the hydrological cycle to ecosystem carbon uptake and agricultural productivity. How this energy flux is changing under anthropogenic climate forcing and what the consequences might be have become central preoccupations of modern Earth system science. Yet despite a rapidly growing literature spanning atmospheric physics, ecology, remote sensing, and energy engineering, no study has attempted to map the global scientific output on solar radiation and climate change as a unified research domain. This study addresses this gap through a large-scale bibliometric analysis of 8473 publications retrieved from the Web of Science Core Collection (1991–2025). Using the Bibliometrix R package (v5.0.1) and VOSviewer (v1.6.20), the study examined publication growth, country and institutional productivity, journal performance, co-authorship structures, keyword networks, thematic evolution, and emerging research fronts. The literature has grown at an annual rate of 14.87%, with China and the USA accounting for nearly half of all output—though American research shows markedly higher citation impact. Bradford’s Law identified 27 core journals, which accounted for roughly one-third of total publications; the Journal of Geophysical Research–Atmospheres ranked first. Consistent with Lotka’s Law, a large majority of authors (78.9%) appear only once in the dataset, pointing to a broad but peripherally engaged scientific community. Keyword co-occurrence mapping revealed five thematic clusters: ecological and biosphere impacts; climate dynamics and variability; atmospheric processes and data-driven methods; solar geoengineering; and energy and renewable applications. The most rapidly rising topics after 2020—machine learning, CMIP6, solar geoengineering, and heatwaves—suggest that the field is shifting toward data-driven methods and active climate intervention debates. These findings offer a structured overview of where the field stands and the most urgent knowledge gaps. © 2026 by the author.",bibliometric analysis; climate change; research trends; science mapping; solar radiation; VOSviewer; web of science
Bossert L.N.; Palmer C.,"Bossert, Leonie N. (57226413663); Palmer, Clare (8140049100)",57226413663; 8140049100,Geoengineering and Animal Ethics: The Case of Stratospheric Aerosol Injection,2026,10.1080/21550085.2026.2643139,https://www.scopus.com/pages/publications/105032547468?origin=resultslist,"Institute for Philosophy, University of Vienna, Vienna, Austria; Department of Philosophy, Texas AM University, College Station, TX, United States","Bossert L.N., Institute for Philosophy, University of Vienna, Vienna, Austria; Palmer C., Department of Philosophy, Texas AM University, College Station, TX, United States","Negative effects of anthropogenic climate change are accelerating. The threat climate change poses has prompted research into radical technological responses, including forms of solar radiation management (SRM). While there has been some consideration of the ethical challenges SRM technologies present, to date, these have almost exclusively concerned humans. Here, we take one leading form of SRM, stratospheric aerosol injection (SAI), and examine the ethical questions its deployment might present for wild animals. We map this terrain by investigating two overarching ethical questions: a) whether deploying stratospheric aerosol injection should be seen as in-principle wrong from animal ethics perspectives, and b) if not, or where it is not, what ethicists need to consider to morally evaluate SAI in the context of wild animals. To address the second question, we explore existing research gaps regarding empirical information on the effects of SAI on animals, the possible impacts of SAI on animal welfare, and its potential implications for justice issues when animals are included in theories of justice. © 2026 The Author(s). Published by Informa UK Limited, trading as Taylor & Francis Group.",Animal ethics; geoengineering; justice; solar radiation management; stratospheric aerosol injection
Moriarty P.; Honnery D.,"Moriarty, Patrick (35606833700); Honnery, Damon (6602708337)",35606833700; 6602708337,The risk of catastrophic climate change: Future energy implications,2021,10.1016/j.futures.2021.102728,https://www.scopus.com/pages/publications/85102447308?origin=resultslist,"Department of Design, Monash University-Caulfield Campus, P.O. Box 197, Caulfield East, 3145, Victoria, Australia; Department of Mechanical and Aerospace Engineering, Monash University-Clayton Campus, P.O Box 31, 3800, Victoria, Australia","Moriarty P., Department of Design, Monash University-Caulfield Campus, P.O. Box 197, Caulfield East, 3145, Victoria, Australia; Honnery D., Department of Mechanical and Aerospace Engineering, Monash University-Clayton Campus, P.O Box 31, 3800, Victoria, Australia","Increasing discussion is occurring, in both the popular media and scientific research papers, about the risk of catastrophic climate change (CCC). Earth Science researchers have produced evidence that the damage function from ongoing climate change is not linear: damages rise disproportionately with global average temperature increase. This short paper explores the implications of CCC for future energy forecasting and policy. It is argued that the time available is now too short to continue framing the problem solution in terms of a shift to zero carbon fuels or carbon dioxide removal. Also, given the large uncertainties remaining in forecasting future climate—especially regional precipitation—solar radiation management is likely too risky. Instead, major reductions in global fossil fuel energy are needed, largely through energy conservation. The global response to the current pandemic shows the potential for rapid social change in the face of a crisis. © 2021 Elsevier Ltd",BECCS; Catastrophic climate change; Climate emergency; Dynamic energy analysis; Fossil fuels; Pandemic lessons; Renewable energy
Gregory R.; Satterfield T.; Hasell A.,"Gregory, Robin (7402331899); Satterfield, Terre (35616449900); Hasell, Ariel (57074025900)",7402331899; 35616449900; 57074025900,Using decision pathway surveys to inform climate engineering policy choices,2016,10.1073/pnas.1508896113,https://www.scopus.com/pages/publications/84955313019?origin=resultslist,"Decision Research, Eugene, 97401, OR, United States; Institute for Resources, Environment, and Sustainability, University of British Columbia, Vancouver, V6T 1Z4, BC, Canada; Department of Communication, University of California, Santa Barbara, 93106, CA, United States","Gregory R., Decision Research, Eugene, 97401, OR, United States; Satterfield T., Institute for Resources, Environment, and Sustainability, University of British Columbia, Vancouver, V6T 1Z4, BC, Canada; Hasell A., Department of Communication, University of California, Santa Barbara, 93106, CA, United States","Over the coming decades citizens living in North America and Europe will be asked about a variety of new technological and behavioral initiatives intended to mitigate the worst impacts of climate change. A common approach to public input has been surveys whereby respondents' attitudes about climate change are explained by individuals' demographic background, values, and beliefs. In parallel, recent deliberative research seeks to more fully address the complex value tradeoffs linked to novel technologies and difficult ethical questions that characterize leading climate mitigation alternatives. New methods such as decision pathway surveys may offer important insights for policy makers by capturing much of the depth and reasoning of small-group deliberations while meeting standard survey goals including large-sample stakeholder engagement. Pathway surveys also can help participants to deepen their factual knowledge base and arrive at a more complete understanding of their own values as they apply to proposed policy alternatives. The pathway results indicate more fully the conditional and context-specific nature of support for several ""upstream"" climate interventions, including solar radiation management techniques and carbon dioxide removal technologies.",Climate change; Deliberation; Geoengineering; Pathway surveys
Warburton P.; Shuler K.; Zenker J.P.; Patel L.,"Warburton, Pierce (59955910500); Shuler, Kurtis (57216349494); Zenker, Jake P. (57198502380); Patel, Lekha (57212724228)",59955910500; 57216349494; 57198502380; 57212724228,Image masks of global ship tracks for NASA MODIS data products,2025,10.1038/s41597-025-04911-2,https://www.scopus.com/pages/publications/105008696824?origin=resultslist,"Scientific Machine Learning, Sandia National Laboratories, Albuquerque, 87123, NM, United States; Statistical Sciences, Sandia National Laboratories, Albuquerque, 87123, NM, United States; WMD Threats & Aerosol Science, Sandia National Laboratories, Albuquerque, 87123, NM, United States","Warburton P., Scientific Machine Learning, Sandia National Laboratories, Albuquerque, 87123, NM, United States; Shuler K., Statistical Sciences, Sandia National Laboratories, Albuquerque, 87123, NM, United States; Zenker J.P., WMD Threats & Aerosol Science, Sandia National Laboratories, Albuquerque, 87123, NM, United States; Patel L., Scientific Machine Learning, Sandia National Laboratories, Albuquerque, 87123, NM, United States","Ship tracks, long thin artificial cloud features formed from the pollutants in ship exhaust, are satellite-observable examples of aerosol-cloud interactions (ACI) that can lead to increased cloud albedo and thus increased solar reflectivity, phenomena of interest in solar radiation management. In addition to ship tracks being of interest to meteorologists and policy makers, their observed cloud perturbations provide benchmark evidence of ACI that remain poorly captured by climate models. To broadly analyze the effects of ship tracks, high-resolution satellite imagery data highlighting their presence are required. To support this, we provide a hand labelled dataset to serve as a benchmark for a variety of subsequent analyses. Established from a previous dataset that identified ship track presence using NASA’s MODIS Aqua satellite imager, our first-of-its-kind dataset is comprised of image masks: capturing full ship track regions, including their contours, emission points and dispersive patterns. In total, 300 images, or around 2,500 masked ship tracks, observed under varying conditions are provided, and may facilitate training of machine learning algorithms to automate extraction. © The Author(s) 2025.",
Robock A.,"Robock, Alan (7004299063)",7004299063,Will Geoengineering With Solar Radiation Management Ever Be Used?,2012,10.1080/21550085.2012.685573,https://www.scopus.com/pages/publications/84864654749?origin=resultslist,"Department of Environmental Sciences, Rutgers University, New Brunswick, NJ 08901-8551, 14 College Farm Road, United States","Robock A., Department of Environmental Sciences, Rutgers University, New Brunswick, NJ 08901-8551, 14 College Farm Road, United States",[No abstract available],
Rayner S.,"Rayner, Steve (56234308800)",56234308800,To know or not to know? A note on ignorance as a rhetorical resource in geoengineering debates,2015,10.4324/9781315867762-37,https://www.scopus.com/pages/publications/85111267469?origin=resultslist,"Institute for Science, Innovation and Society, Oxford University, United Kingdom","Rayner S., Institute for Science, Innovation and Society, Oxford University, United Kingdom","It is argued that science actually increases ignorance and uncertainty, or at least the awareness of them, by rendering unknown unknowns into known unknowns. Writing specifically on geoengineering, G. Winter describes the current situation as one of “conscious ignorance” in which it is possible to know, even before research is conducted, that sufficient knowledge to justify the risk of using stratospheric aerosols can never be gained; that ignorance can be known in advance of research to be “irreducible”. The rhetorical deployment of ignorance in the case for solar geoengineering seems quite straightforward: conducting some research is the only way to reduce ignorance about the technology. However, the case against solar geoengineering research seems to be two-fold. Ignorance is a binding constraint - “we simply cannot know” - and ignorance is a source of virtue - “it saves us from folly”. © 2015 Matthias Gross and Linsey McGoey.",
Sovacool B.K.; Baum C.M.; Low S.,"Sovacool, Benjamin K. (9333655700); Baum, Chad M. (57192099710); Low, Sean (56417223300)",9333655700; 57192099710; 56417223300,Beyond climate stabilization: Exploring the perceived sociotechnical co-impacts of carbon removal and solar geoengineering,2023,10.1016/j.ecolecon.2022.107648,https://www.scopus.com/pages/publications/85140469192?origin=resultslist,"Center for Energy Technologies, Department of Business Development and Technology, Aarhus University, Denmark; Science Policy Research Unit (SPRU), University of Sussex Business School, United Kingdom; Department of Earth and Environment, Boston University, United States","Sovacool B.K., Center for Energy Technologies, Department of Business Development and Technology, Aarhus University, Denmark, Science Policy Research Unit (SPRU), University of Sussex Business School, United Kingdom, Department of Earth and Environment, Boston University, United States; Baum C.M., Center for Energy Technologies, Department of Business Development and Technology, Aarhus University, Denmark; Low S., Center for Energy Technologies, Department of Business Development and Technology, Aarhus University, Denmark","The scientific literature on the co-impacts of low-carbon energy systems—positive and negative side effects—has focused intently on climate mitigation, or climate adaptation. It has not systematically examined the prospective co-impacts of carbon removal (or negative emissions) and solar geoengineering. Based on a large sample of diverse expert interviews (N = 125), and using a sociotechnical approach, in this study we identify 107 perceived co-impacts related to the deployment of carbon removal and solar geoengineering technologies. Slightly less than half (52) were identified as positive co-impacts (38 for carbon removal, 14 for solar geoengineering), whereas slightly more than half (55) were identified as negative co-impacts (31 for carbon removal, 24 for solar geoengineering). We then discuss 20 of these co-impacts in more depth, including positive co-impacts for nature-based protection, the expansion of industry, and reduction of poverty or heat stress as well as negative co-impacts for water insecurity, moral hazard, limited social acceptance and path dependence. After presenting this body of evidence, the paper then discusses and theorizes these co-impacts more deeply in terms of four areas: relationality and risk-risk trade-offs, co-deployment and coupling, intentional or unintentional implications, and expert consensus and dissensus. It concludes with more general insights for energy and climate research, and policy. © 2022 The Author(s)",Carbon dioxide removal; Climate justice; Greenhouse gas removal; Negative emissions; Net-zero emissions; Solar radiation management
